,Unnamed: 0,VendorID,pickup_date,pickup_time,drop_date,drop_time,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type ,pickup_time_hour,drop_time_hour,pickup_location
819,54016,2,1/1/16,19:50,1/1/16,19:57,N,1,-73.97754669,40.68432236,-73.99358368,40.68712616,1,1.24,7.0,0.0,0.5,0.0,0.0,,0.3,7.8,1,1.0,19,19,Brooklyn
820,45672,1,1/1/16,15:04,1/1/16,15:15,N,1,-73.95459747,40.68006897,-73.92085266,40.68814468,1,2.1,10.0,0.0,0.5,2.15,0.0,,0.3,12.95,1,1.0,15,15,Brooklyn
821,9299,2,1/1/16,1:38,1/1/16,1:45,N,1,-73.83921051,40.70079803,-73.83563232,40.68742752,1,1.12,6.5,0.5,0.5,1.56,0.0,,0.3,9.36,1,1.0,1,1,Queens
822,32987,2,1/1/16,6:01,1/1/16,6:05,N,1,-73.86034393,40.73597336,-73.85146332,40.73812866,1,1.17,6.0,0.0,0.5,0.0,0.0,,0.3,6.8,2,1.0,6,6,Queens
823,59201,2,1/1/16,21:51,1/1/16,22:12,N,1,-73.96111298,40.71889496,-73.97837829999997,40.67211914,1,4.92,18.5,0.5,0.5,4.95,0.0,,0.3,24.75,1,1.0,21,22,Brooklyn
824,55182,2,1/1/16,20:06,1/1/16,20:15,N,1,-73.98679352,40.70236206,-73.99542999,40.71711349,1,2.26,9.5,0.5,0.5,0.0,0.0,,0.3,10.8,2,1.0,20,20,Brooklyn
825,38927,2,1/1/16,11:13,1/1/16,11:26,N,1,-73.97267151,40.67845535,-73.96370697,40.71133804,1,3.93,14.5,0.0,0.5,0.0,0.0,,0.3,15.3,2,1.0,11,11,Brooklyn
826,10206,2,1/1/16,1:32,1/1/16,1:55,N,1,-73.94390869,40.6832695,-73.95775604,40.63848495,1,3.98,17.5,0.5,0.5,0.0,0.0,,0.3,18.8,2,1.0,1,1,Brooklyn
827,21953,2,1/1/16,3:37,1/1/16,3:43,N,1,-73.89064026,40.74670029,-73.88157654,40.75591278,1,1.0,6.5,0.5,0.5,0.0,0.0,,0.3,7.8,2,1.0,3,3,Queens
828,62724,2,1/1/16,23:14,1/1/16,23:31,N,1,-73.93576813,40.79544067,-73.89086914,40.83585739,1,4.2,15.5,0.5,0.5,0.0,0.0,,0.3,16.8,2,1.0,23,23,Manhattan
829,19547,1,1/1/16,2:04,1/1/16,2:06,N,1,-73.96645355,40.681427,-73.96242523,40.68064117,1,0.2,3.5,0.5,0.5,0.0,0.0,,0.3,4.8,1,1.0,2,2,Brooklyn
